JOB TITLE,MIN SALARY ESTIMATION,MAX SALARY ESTIMATION,RATING,COMPANY NAME,LOCATION,HEAD QUARTERS,COMPANY AGE,COMPANY TYPE,INDUSTRY,SECTOR,REVENUE,data_job_role,EXCEL,SQL,PYTHON,TABLEAU,POWER BI,BACHELOR'S DEGREE REQUIREMENT,MASTER'S DEGREE REQUIREMENT,PHD DEGREE REQUIREMENT,COMPANY_AGE,COMPANY_SIZE
Data Modeler,137000,171000,3.1,Old World Industries,"Northbrook, IL","Northbrook, IL",50,Private,Chemical Manufacturing,Manufacturing,$1 to $2 billion,other job role,1,1,1,1,0,0,0,0,50,L
Data Scientist,137000,171000,3.4,Mathematica Policy Research,"Washington, DC","Princeton, NJ",37,Private,Consulting,Business Services,$100 to $500 million,scientist,1,0,1,0,0,0,1,1,37,L
Experienced Data Scientist,137000,171000,4.4,Guzman & Griffin Technologies (GGTI),"Washington, DC","Mays Landing, NJ",26,Private,Federal Agencies,Government,-1,scientist,1,1,1,1,0,0,0,0,26,S
Data Scientist - Contract,137000,171000,4.1,Upside Business Travel,Remote,"Washington, DC",8,Private,Internet,Information Technology,-1,scientist,0,0,1,0,0,0,0,0,8,M
Data Scientist,137000,171000,3.5,Buckman,"Memphis, TN","Memphis, TN",78,Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion,scientist,0,1,1,0,0,0,0,1,78,L
Data Analyst II,137000,171000,4.2,"Insight Enterprises, Inc.","Plano, TX","Tempe, AZ",35,Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion,analyst,1,0,0,0,0,0,0,0,35,L
Medical Lab Scientist,137000,171000,3.5,Tower Health,"West Grove, PA","Reading, PA",6,NPO,Health Care Services & Hospitals,Health Care,-1,scientist,0,0,0,0,0,1,0,0,6,L
Data Scientist,137000,171000,3.2,Triplebyte,"New York, NY","San Francisco, CA",8,Private,Computer Hardware & Software,Information Technology,-1,scientist,0,0,0,0,0,0,0,0,8,M
Data Scientist/Machine Learning,137000,171000,4.3,PulsePoint,"New York, NY","New York, NY",12,Private,Internet,Information Technology,$100 to $500 million,scientist,0,0,1,0,0,0,0,1,12,M
Human Factors Scientist,137000,171000,3.5,Exponent,"Phoenix, AZ","Menlo Park, CA",56,Public,Consulting,Business Services,$100 to $500 million,scientist,1,0,0,0,0,0,0,0,56,L
Business Intelligence Analyst I- Data Insights,137000,171000,3.5,Guardian Life,"Appleton, WI","New York, NY",163,Private,Insurance Carriers,Insurance,$5 to $10 billion,analyst,0,0,0,0,0,0,0,0,163,L
Data Scientist,137000,171000,3.4,Spectrum Communications and Consulting,"Chicago, IL","Chicago, IL",31,Private,Advertising & Marketing,Business Services,$10 to $25 million,scientist,0,1,0,0,0,1,0,0,31,M
Data Scientist,137000,171000,4.7,Oversight Systems,"Atlanta, GA","Atlanta, GA",20,Private,Computer Hardware & Software,Information Technology,$25 to $50 million,scientist,1,1,1,0,0,0,0,0,20,M
Data Scientist - Risk,137000,171000,4.2,LSQ,"Orlando, FL","Orlando, FL",27,Private,Investment Banking & Asset Management,Finance,$100 to $500 million,scientist,1,0,1,1,1,0,1,0,27,M
Data Scientist-Human Resources,137000,171000,3.8,MIT Lincoln Laboratory,"Lexington, MA","Lexington, MA",72,NPO,Aerospace & Defense,Aerospace & Defense,-1,scientist,0,1,1,0,0,0,0,0,72,L
Data Scientist,137000,171000,4.5,Kingfisher Systems,"McLean, VA","Falls Church, VA",18,Private,Federal Agencies,Government,$25 to $50 million,scientist,0,1,1,1,0,1,0,0,18,M
Data Scientist,137000,171000,2.8,Formation,"San Francisco, CA","San Francisco, CA",8,Private,Enterprise Software & Network Solutions,Information Technology,-1,scientist,1,0,0,0,0,0,0,0,8,M
Data Scientist,75000,131000,3.8,Analysis Group,"Boston, MA","Boston, MA",42,Private,Consulting,Business Services,$100 to $500 million,scientist,1,0,1,0,0,0,0,1,42,L
Data Scientist / Machine Learning Expert,75000,131000,3.9,Novartis,"Cambridge, MA","Basel, Switzerland",27,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion,scientist,0,0,1,0,0,0,0,0,27,L
Data Scientist,75000,131000,5,Cohere Health,"Boston, MA","Boston, MA",4,Private,IT Services,Information Technology,-1,scientist,1,1,1,0,0,0,0,0,4,S
Senior Research Statistician- Data Scientist,75000,131000,4.8,Acuity Insurance,"Sheboygan, WI","Sheboygan, WI",98,Private,Insurance Carriers,Insurance,$1 to $2 billion,scientist,0,0,0,0,0,0,1,1,98,L
Data Engineer,75000,131000,3.6,Chef,United States,"Seattle, WA",15,Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million,engineer,1,1,0,0,0,0,1,0,15,L
Associate Data Scientist,75000,131000,3.3,Puget Sound Energy,"Bothell, WA","Bellevue, WA",24,Private,Utilities,"Oil, Gas, Energy & Utilities",$2 to $5 billion,scientist,1,1,0,0,0,0,0,0,24,L
Business Intelligence Analyst,75000,131000,2.7,Sandhills Global,"Lincoln, NE","Lincoln, NE",45,Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million,analyst,1,1,1,1,1,0,0,0,45,L
Data Scientist,75000,131000,2.7,A Place for Mom,"Overland Park, KS","New York, NY",23,Private,Health Care Services & Hospitals,Health Care,-1,scientist,1,1,1,0,0,0,0,0,23,L
Data Scientist,75000,131000,2.2,Great-Circle Technologies,"Chantilly, VA","Chantilly, VA",23,Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million,scientist,1,1,1,0,0,0,1,0,23,S
Senior Analyst/Data Scientist,75000,131000,3.4,Edmunds.com,"Santa Monica, CA","Santa Monica, CA",57,Private,Internet,Information Technology,$100 to $500 million,scientist,1,1,1,1,0,0,1,0,57,L
Data Analyst,75000,131000,3.1,"Cambridge Associates, LLC","Boston, MA","Boston, MA",50,Private,Investment Banking & Asset Management,Finance,$100 to $500 million,analyst,1,1,1,0,0,0,0,0,50,L
Machine Learning Engineer,75000,131000,3.4,Liberty Mutual Insurance,"Portsmouth, NH","Boston, MA",111,Private,Insurance Carriers,Insurance,$10+ billion,engineer,1,0,1,0,0,1,0,0,111,L
Data Analyst I,75000,131000,2.6,Cenlar,"Ewing, NJ","Ewing, NJ",65,Private,-1,-1,$100 to $500 million,analyst,0,1,0,0,0,0,0,0,65,L
Scientist - Molecular Biology,75000,131000,5,Arsenal Biosciences,"South San Francisco, CA","South San Francisco, CA",4,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,-1,scientist,0,0,0,0,0,0,0,1,4,M
Data Scientist,75000,131000,4.2,Eversight,"Palo Alto, CA","Palo Alto, CA",10,Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million,scientist,0,0,1,0,0,0,0,0,10,M
"Computational Scientist, Machine Learning",75000,131000,4.1,Pfizer,"Cambridge, MA","New York, NY",174,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion,scientist,1,0,1,0,0,0,0,0,174,L
Senior Data Scientist,75000,131000,4.8,Klaviyo,"Boston, MA","Boston, MA",11,Private,Computer Hardware & Software,Information Technology,-1,scientist,0,0,0,0,0,1,0,0,11,L
Data Scientist,75000,131000,3.3,Intellectual Ventures,"Bellevue, WA","Bellevue, WA",23,Private,Investment Banking & Asset Management,Finance,-1,scientist,1,0,1,0,0,0,0,0,23,L
Data Scientist,75000,131000,3.7,GovTech,"San Francisco, CA","Singapore, Singapore",7,Government,Federal Agencies,Government,-1,scientist,1,0,1,1,0,0,0,0,7,L
Data Scientist,75000,131000,4.3,Quick Base,"Cambridge, MA","Cambridge, MA",24,Private,Enterprise Software & Network Solutions,Information Technology,-1,scientist,1,1,1,1,1,0,0,0,24,L
Data Analyst,75000,131000,4.8,Giving Assistant,"San Francisco, CA","San Francisco, CA",9,Private,Advertising & Marketing,Business Services,$10 to $25 million,analyst,1,1,1,1,0,0,0,0,9,S
Data Scientist,75000,131000,3.7,Takeda,"Cambridge, MA","OSAKA, Japan",242,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion,scientist,0,1,1,0,0,0,1,1,242,L
Data Scientist,75000,131000,4,Netskope,"San Francisco, CA","Santa Clara, CA",11,Private,Enterprise Software & Network Solutions,Information Technology,-1,scientist,1,0,1,0,0,0,0,1,11,L
Jr. Data Engineer,75000,131000,4.8,IT Concepts,Remote,"Vienna, VA",20,Private,IT Services,Information Technology,$10 to $25 million,engineer,1,1,0,0,0,0,0,0,20,M
E-Commerce Data Analyst,75000,131000,3.5,iSeatz,"New Orleans, LA","New Orleans, LA",24,Private,Enterprise Software & Network Solutions,Information Technology,-1,analyst,1,1,0,0,0,1,0,0,24,M
Data Analytics Engineer,75000,131000,3.7,Summa Health System,"Akron, OH","Akron, OH",97,NPO,Health Care Services & Hospitals,Health Care,$100 to $500 million,engineer,1,0,0,1,0,0,0,0,97,L
Senior Data Scientist,75000,131000,3.5,Benson Hill,"Saint Louis, MO","Saint Louis, MO",11,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million,scientist,1,0,1,0,0,0,0,1,11,L
Product Data Scientist - Ads Data Science,75000,131000,4.1,Twitter,"San Francisco, CA","San Francisco, CA",17,Public,Internet,Information Technology,$2 to $5 billion,scientist,0,0,1,0,0,0,0,1,17,L
Data Scientist,75000,131000,3.2,Postmates - Corporate HQ,"San Francisco, CA","San Francisco, CA",12,Private,Express Delivery Services,Transportation & Logistics,-1,scientist,0,1,1,0,0,1,0,0,12,L
Data Scientist - Intermediate,75000,131000,4.5,Envision LLC,"Saint Louis, MO","Saint Louis, MO",29,Private,Staffing & Outsourcing,Business Services,$25 to $50 million,scientist,1,0,1,0,0,0,0,1,29,L
Data Analyst,75000,131000,3.8,Swiss Re,"Fort Wayne, IN","Zurich, Switzerland",160,Public,Insurance Agencies & Brokerages,Insurance,$10+ billion,analyst,1,1,1,0,0,0,0,0,160,L
Machine Learning Engineer,75000,131000,4.5,Systems & Technology Research,"Woburn, MA","Woburn, MA",13,Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million,engineer,1,0,1,0,0,0,0,1,13,L
Data Scientist,79000,131000,3.5,iRobot,"Bedford, MA","Bedford, MA",33,Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion,scientist,0,1,1,0,0,0,0,0,33,L
Data Scientist,79000,131000,4.2,HG Insights,"Santa Barbara, CA","Santa Barbara, CA",13,Private,Computer Hardware & Software,Information Technology,-1,scientist,1,1,1,0,0,0,0,0,13,M
Global Data Analyst,79000,131000,3.8,Dermalogica,"Carson, CA","Carson, CA",37,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$100 to $500 million,analyst,1,1,0,1,1,0,0,0,37,L
Data Engineer,79000,131000,3.7,Bayview Asset Management,"Coral Gables, FL","Coral Gables, FL",28,Private,Investment Banking & Asset Management,Finance,$100 to $500 million,engineer,0,1,1,0,0,0,0,0,28,L
Data Scientist,79000,131000,3.7,Via Transportation,"New York, NY","New York, NY",11,Private,Internet,Information Technology,-1,scientist,0,1,1,1,0,0,0,1,11,L
Data Scientist,79000,131000,4,Grid Dynamics,"Santa Clara, CA","San Ramon, CA",17,Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million,scientist,1,1,1,1,0,0,0,0,17,L
Data & Machine Learning Scientist,79000,131000,3.3,Tempus Labs,"Chicago, IL","Chicago, IL",8,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,-1,scientist,0,1,1,0,0,0,0,1,8,L
Data Scientist - Machine Learning,79000,131000,2.5,CareDx,"Brisbane, CA","Brisbane, CA",-1,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,-1,scientist,1,0,1,0,0,0,0,0,-1,S
Data Engineer (Remote),79000,131000,4.2,IZEA,"Winter Park, FL","Winter Park, FL",17,Public,Advertising & Marketing,Business Services,$25 to $50 million,engineer,1,1,1,0,0,0,0,0,17,M
"Data Scientist, Applied Machine Learning - Bay Area",79000,131000,3.3,Tempus Labs,"Redwood City, CA","Chicago, IL",8,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,-1,scientist,0,1,1,0,0,0,0,0,8,L
Principal Data Scientist,79000,131000,4,Autodesk,"San Francisco, CA","San Rafael, CA",41,Public,Computer Hardware & Software,Information Technology,$2 to $5 billion,scientist,1,0,1,0,0,0,0,0,41,L
Business Data Analyst,79000,131000,3.7,Caterpillar,"Peoria, IL","Deerfield, IL",98,Public,Industrial Manufacturing,Manufacturing,$10+ billion,analyst,1,1,0,1,0,0,0,0,98,L
Purification Scientist,79000,131000,4.9,New England Biolabs,"Ipswich, MA","Ipswich, MA",49,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,-1,scientist,0,0,0,0,0,0,0,0,49,L
Data Analyst,79000,131000,3.4,Allied Solutions,"Carmel, IN","Carmel, IN",22,Subsidiary or Business Segment,Insurance Agencies & Brokerages,Insurance,$100 to $500 million,analyst,1,1,1,1,0,0,0,0,22,L
"Data Engineer, Enterprise Analytics",79000,131000,3.1,Healthfirst,"New York, NY","New York, NY",30,NPO,Insurance Carriers,Insurance,-1,engineer,1,1,1,0,0,0,0,0,30,L
Data Scientist,79000,131000,3.5,The Knot Worldwide,"Washington, DC","Chevy Chase, MD",4,Private,Internet,Information Technology,-1,scientist,0,0,1,0,0,0,1,0,4,L
Data Scientist,79000,131000,2.9,IFG Companies,"New York, NY","Hartford, CT",38,Private,Insurance Carriers,Insurance,-1,scientist,0,1,1,0,0,0,0,0,38,L
Data Scientist 3 (718),79000,131000,3.3,Amyris,"Emeryville, CA","Emeryville, CA",20,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million,scientist,0,0,1,0,0,0,0,0,20,L
"Real World Science, Data Scientist",79000,131000,4,AstraZeneca,"Gaithersburg, MD","Cambridge, United Kingdom",110,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion,scientist,0,1,1,0,0,0,0,1,110,L
Data Scientist,79000,131000,3.6,Powertek,"Washington, DC","Rockville, MD",22,Private,IT Services,Information Technology,$25 to $50 million,scientist,0,0,0,0,0,0,0,0,22,M
Data Engineer,79000,131000,4.7,Object Partners,"Saint Louis, MO","Minneapolis, MN",27,Private,Consulting,Business Services,$25 to $50 million,engineer,0,1,0,0,0,0,0,0,27,M
Data Scientist - Image and Video Analytics,79000,131000,4.9,The Mom Project,"Longmont, CO","Chicago, IL",7,Private,Staffing & Outsourcing,Business Services,-1,scientist,0,0,1,0,0,0,1,1,7,S
Data Scientist,79000,131000,4.3,Lightspeed Systems,"Austin, TX","Austin, TX",24,Private,Computer Hardware & Software,Information Technology,$25 to $50 million,scientist,0,1,1,0,0,0,1,0,24,M
"Data Science Manager, Payment Acceptance - USA",79000,131000,4,Stripe,"San Francisco, CA","San Francisco, CA",13,Private,Internet,Information Technology,-1,other job role,0,1,1,0,0,0,0,1,13,L
Data Analyst,79000,131000,2.6,Comprehensive Healthcare,"Yakima, WA","Yakima, WA",52,NPO,Health Care Services & Hospitals,Health Care,-1,analyst,0,0,0,0,0,1,0,0,52,L
Data Scientist / Applied Mathematician,79000,131000,4.5,"Fullpower Technologies, Inc.","Santa Cruz, CA","Santa Cruz, CA",20,Private,Computer Hardware & Software,Information Technology,$10 to $25 million,scientist,0,1,1,0,0,0,0,0,20,M
Machine Learning Engineer,79000,131000,4.8,Klaviyo,"Boston, MA","Boston, MA",11,Private,Computer Hardware & Software,Information Technology,-1,engineer,0,0,1,0,0,1,0,0,11,L
Data Scientist,79000,131000,3.9,Mars,United States,"Mc Lean, VA",112,Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion,scientist,0,0,1,0,0,0,0,0,112,L
Patient Safety- Associate Data Scientist,79000,131000,4,AstraZeneca,"Gaithersburg, MD","Cambridge, United Kingdom",110,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion,scientist,1,1,1,0,0,0,0,0,110,L
Machine Learning Engineer,79000,131000,4.4,NuWave Solutions,"Springfield, VA","Mc Lean, VA",24,Private,IT Services,Information Technology,$5 to $10 million,engineer,0,1,1,0,0,0,0,0,24,M
Senior Data Scientist,79000,131000,4.2,ManTech,"Alexandria, VA","Herndon, VA",55,Public,Research & Development,Business Services,$1 to $2 billion,scientist,0,1,1,1,0,0,1,0,55,L
(Sr.) Data Scientist -,79000,131000,3.6,Merrick Bank,Utah,"South Jordan, UT",26,Private,Banks & Credit Unions,Finance,-1,scientist,1,1,1,0,0,0,0,0,26,L
Data Scientist,99000,132000,3.4,Mathematica Policy Research,"Washington, DC","Princeton, NJ",37,Private,Consulting,Business Services,$100 to $500 million,scientist,1,0,1,0,0,0,1,1,37,L
Staff Data Scientist - Analytics,99000,132000,4.4,Intuit - Data,"San Diego, CA","Mountain View, CA",40,Public,Computer Hardware & Software,Information Technology,$2 to $5 billion,scientist,0,0,0,0,0,0,0,0,40,L
Data Analytics Engineer,99000,132000,3.5,QOMPLX,"Reston, VA","Reston, VA",8,Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million,engineer,0,1,1,0,0,1,0,0,8,M
"Data Scientist, Kinship - NYC/Portland",99000,132000,3.9,Mars,"New York, NY","Mc Lean, VA",112,Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion,scientist,0,0,1,0,0,0,0,0,112,L
Senior Data Scientist,99000,132000,3.8,GutCheck,"Denver, CO","Denver, CO",14,Private,Advertising & Marketing,Business Services,$10 to $25 million,scientist,0,0,0,0,0,0,0,0,14,M
Applied Technology Researcher / Data Scientist,99000,132000,3.5,Inter-American Development Bank,"Washington, DC","Washington, DC",64,Others,Banks & Credit Unions,Finance,$10+ billion,scientist,1,0,0,1,0,0,0,0,64,L
Data Scientist,99000,132000,4.9,Avlino,New Jersey,"Holmdel, NJ",10,Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million,scientist,0,0,1,0,0,0,0,0,10,S
Machine Learning Engineer,99000,132000,4.4,Stratagem Group,"Aurora, CO","Aurora, CO",16,Private,Aerospace & Defense,Aerospace & Defense,-1,engineer,1,1,1,0,0,0,0,0,16,S
Health Data Scientist - Biomedical/Biostats,99000,132000,4.1,Evidation,"Santa Barbara, CA","San Mateo, CA",11,Private,Internet,Information Technology,-1,scientist,0,0,1,0,0,0,1,1,11,M
Senior Data Scientist,99000,132000,4,Autodesk,"San Francisco, CA","San Rafael, CA",41,Public,Computer Hardware & Software,Information Technology,$2 to $5 billion,scientist,0,1,1,0,0,0,0,1,41,L
Staff Data Scientist,99000,132000,4.4,Intuit - Data,"San Diego, CA","Mountain View, CA",40,Public,Computer Hardware & Software,Information Technology,$2 to $5 billion,scientist,0,0,0,0,0,0,0,0,40,L
Data Scientist,99000,132000,3.8,Tecolote Research,"Hill AFB, UT","Goleta, CA",50,Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million,scientist,1,1,1,1,1,0,0,0,50,L
Sr Data Engineer (Sr BI Developer),99000,132000,3.2,Tivity Health,"Chandler, AZ","Franklin, TN",42,Public,Health Care Services & Hospitals,Health Care,-1,engineer,0,1,0,0,0,0,0,0,42,L
Data Engineer,99000,132000,2.9,hc1,"Indianapolis, IN","Indianapolis, IN",12,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million,engineer,0,1,1,0,0,0,0,0,12,M
Lead Data Scientist,99000,132000,4.1,HP Inc.,"San Diego, CA","Palo Alto, CA",84,Public,Computer Hardware & Software,Information Technology,-1,scientist,1,0,1,0,0,0,0,0,84,L
Data Scientist,99000,132000,3.7,SAIC,"Chantilly, VA","Reston, VA",10,Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 million,scientist,0,0,1,0,0,1,0,0,10,L
RFP Data Analyst,99000,132000,3.2,AllianceBernstein,"Nashville, TN","New York, NY",56,Public,Investment Banking & Asset Management,Finance,$2 to $5 billion,analyst,1,0,0,0,0,0,0,0,56,L
Data Analyst,99000,132000,4.9,Big Huge Games,"Timonium, MD","Lutherville Timonium, MD",10,Subsidiary or Business Segment,Video Games,Media,-1,analyst,1,1,0,1,0,1,0,0,10,M
Data Scientist (TS/SCI),99000,132000,3.5,Maxar Technologies,"Herndon, VA","Westminster, CO",-1,Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion,scientist,0,1,1,0,0,1,1,0,-1,L
Data Engineer,99000,132000,5,Phantom AI,"Burlingame, CA","Burlingame, CA",7,Private,Computer Hardware & Software,Information Technology,-1,engineer,0,0,1,0,0,0,0,0,7,S
Data Scientist,99000,132000,4,Noblis,"Reston, VA","Reston, VA",27,NPO,Consulting,Business Services,$100 to $500 million,scientist,0,1,1,1,0,1,0,1,27,L
Data Scientist,99000,132000,3.6,Spring Health,"New York, NY","New York, NY",7,Private,Health Care Services & Hospitals,Health Care,-1,scientist,1,1,1,0,0,0,0,1,7,S
Software Engineer - Data Science,99000,132000,4,ClearEdge,"Annapolis Junction, MD","Annapolis Junction, MD",21,Private,Computer Hardware & Software,Information Technology,$5 to $10 million,engineer,1,0,1,0,0,0,0,0,21,M
Data Analyst/Engineer,99000,132000,3.2,AllianceBernstein,"Nashville, TN","New York, NY",56,Public,Investment Banking & Asset Management,Finance,$2 to $5 billion,engineer,1,1,1,0,0,0,0,0,56,L
NGS Scientist,99000,132000,5,Arsenal Biosciences,"South San Francisco, CA","South San Francisco, CA",4,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,-1,scientist,1,0,0,0,0,0,1,0,4,M
Data Engineer,99000,132000,4.8,GetWellNetwork,"Bethesda, MD","Bethesda, MD",23,Private,Health Care Services & Hospitals,Health Care,$50 to $100 million,engineer,0,1,1,0,0,0,0,0,23,L
Data Scientist,99000,132000,4.5,TACG Solutions,"Dayton, OH","Beavercreek, OH",17,Private,Consulting,Business Services,-1,scientist,1,1,1,1,0,1,0,0,17,M
Senior Data Engineer,99000,132000,4.7,Scoop,"San Francisco, CA","San Francisco, CA",8,Private,Internet,Information Technology,-1,engineer,0,0,1,0,0,0,0,0,8,M
Senior Data Scientist,99000,132000,4.5,Novetta,"Herndon, VA","Mc Lean, VA",11,Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million,scientist,1,0,1,0,0,0,0,0,11,L
Data Engineer,99000,132000,4.2,IZEA,"Winter Park, FL","Winter Park, FL",17,Public,Advertising & Marketing,Business Services,$25 to $50 million,engineer,1,1,1,0,0,0,0,0,17,M
Business Intelligence Analyst,99000,132000,3.4,Montway Inc,"Schaumburg, IL","Schaumburg, IL",17,Private,Shipping,Transportation & Logistics,-1,analyst,1,1,1,1,0,0,0,0,17,M
Sr. ML/Data Scientist - AI/NLP/Chatbot,99000,132000,3.8,Juniper Networks,"Cupertino, CA","Sunnyvale, CA",27,Public,Telecommunications Services,Telecommunications,$2 to $5 billion,scientist,1,0,1,0,0,0,0,1,27,L
Data Scientist,90000,109000,4.7,1904labs,"Saint Louis, MO","Saint Louis, MO",7,Private,IT Services,Information Technology,-1,scientist,0,1,1,0,0,0,0,0,7,M
Data Scientist,90000,109000,3.6,XSELL Technologies,"Chicago, IL","Chicago, IL",9,Private,Enterprise Software & Network Solutions,Information Technology,-1,scientist,0,1,1,0,0,0,0,1,9,M
Data Engineer,90000,109000,4.2,IZEA,"Winter Park, FL","Winter Park, FL",17,Public,Advertising & Marketing,Business Services,$25 to $50 million,engineer,1,1,1,0,0,0,0,0,17,M
Sr. ML/Data Scientist - AI/NLP/Chatbot,90000,109000,3.8,Juniper Networks,"Cupertino, CA","Sunnyvale, CA",27,Public,Telecommunications Services,Telecommunications,$2 to $5 billion,scientist,1,0,1,0,0,0,0,1,27,L
Data Scientist,90000,109000,5,Notion Labs,"San Francisco, CA","San Francisco, CA",7,Private,Enterprise Software & Network Solutions,Information Technology,-1,scientist,0,1,0,0,0,0,0,0,7,S
Senior Data Engineer,90000,109000,4.9,Lendio,"Lehi, UT","Lehi, UT",12,Private,Lending,Finance,$50 to $100 million,engineer,0,1,1,0,0,0,0,0,12,L
Data Engineer,90000,109000,4.4,Direct Agents,"Culver City, CA","New York, NY",20,Private,Advertising & Marketing,Business Services,$25 to $50 million,engineer,1,1,1,0,1,1,0,0,20,M
Data Scientist,90000,109000,3.3,NAVEX Global,"Lake Oswego, OR","Lake Oswego, OR",11,Private,Computer Hardware & Software,Information Technology,$100 to $500 million,scientist,0,1,1,1,0,0,0,0,11,L
Machine Learning Engineer,90000,109000,3.2,Triplebyte,Remote,"San Francisco, CA",8,Private,Computer Hardware & Software,Information Technology,-1,engineer,0,0,0,0,0,0,0,0,8,M
Machine Learning Engineer,90000,109000,3.2,Triplebyte,Remote,"San Francisco, CA",8,Private,Computer Hardware & Software,Information Technology,-1,engineer,0,0,0,0,0,0,0,0,8,M
